ticker,name,primary_country,tier,benchmark_type,currency_hedged,notes
EWA,iShares MSCI Australia,Australia,1,cap_weighted,N,
FLAU,Franklin FTSE Australia,Australia,1,cap_weighted,N,
EWC,iShares MSCI Canada,Canada,1,cap_weighted,N,
FLCA,Franklin FTSE Canada,Canada,1,cap_weighted,N,
HEWC,iShares Currency Hedged MSCI Canada,Canada,4,currency_hedged,Y,
EDEN,iShares MSCI Denmark,Denmark,1,cap_weighted,N,Small AUM
EWQ,iShares MSCI France,France,1,cap_weighted,N,
FLFR,Franklin FTSE France,France,1,cap_weighted,N,
EWG,iShares MSCI Germany,Germany,1,cap_weighted,N,
EWGS,iShares MSCI Germany Small-Cap,Germany,4,thematic,N,Smallcap tactical
HEWG,iShares Currency Hedged MSCI Germany,Germany,4,currency_hedged,Y,
FLGR,Franklin FTSE Germany,Germany,1,cap_weighted,N,
EWH,iShares MSCI Hong Kong,Hong Kong,1,cap_weighted,N,
EWHS,iShares MSCI Hong Kong Small-Cap,Hong Kong,4,thematic,N,
FLHK,Franklin FTSE Hong Kong,Hong Kong,1,cap_weighted,N,
EWI,iShares MSCI Italy,Italy,1,cap_weighted,N,
EWJ,iShares MSCI Japan,Japan,1,cap_weighted,N,
DXJ,WisdomTree Japan Hedged Equity,Japan,4,currency_hedged,Y,Large hedged tactical
HEWJ,iShares Currency Hedged MSCI Japan,Japan,4,currency_hedged,Y,
DBJP,Xtrackers MSCI Japan Hedged,Japan,4,currency_hedged,Y,
JPXN,iShares JPX-Nikkei 400,Japan,1,cap_weighted,N,
BBJP,JPMorgan BetaBuilders Japan,Japan,1,cap_weighted,N,
SCJ,iShares MSCI Japan Small-Cap,Japan,4,thematic,N,
DFJ,WisdomTree Japan SmallCap Dividend,Japan,4,thematic,N,Small + dividend tilt
FLJP,Franklin FTSE Japan,Japan,1,cap_weighted,N,
EWN,iShares MSCI Netherlands,Netherlands,1,cap_weighted,N,Verify still active
EWS,iShares MSCI Singapore,Singapore,1,cap_weighted,N,
EWSS,iShares MSCI Singapore Small-Cap,Singapore,4,thematic,N,
EWP,iShares MSCI Spain,Spain,1,cap_weighted,N,
EWD,iShares MSCI Sweden,Sweden,1,cap_weighted,N,
EWL,iShares MSCI Switzerland,Switzerland,1,cap_weighted,N,
FLSW,Franklin FTSE Switzerland,Switzerland,1,cap_weighted,N,
HEWL,iShares Currency Hedged MSCI Switzerland,Switzerland,4,currency_hedged,Y,
EWU,iShares MSCI United Kingdom,U.K.,1,cap_weighted,N,
EWUS,iShares MSCI UK Small-Cap,U.K.,4,thematic,N,
FLGB,Franklin FTSE United Kingdom,U.K.,1,cap_weighted,N,
HEWU,iShares Currency Hedged MSCI UK,U.K.,4,currency_hedged,Y,
SPY,SPDR S&P 500,U.S.,1,cap_weighted,N,Massive AUM dominates
IVV,iShares Core S&P 500,U.S.,1,cap_weighted,N,
VOO,Vanguard S&P 500,U.S.,1,cap_weighted,N,
VTI,Vanguard Total Stock Market,U.S.,1,cap_weighted,N,
RSP,Invesco S&P 500 Equal Weight,U.S.,2,smart_beta_other,N,Equal-weight tilt
QQQ,Invesco QQQ Trust,NASDAQ,1,cap_weighted,N,
QQQM,Invesco NASDAQ 100,NASDAQ,1,cap_weighted,N,
IWM,iShares Russell 2000,US SmallCap,1,cap_weighted,N,
IJR,iShares Core S&P Small-Cap,US SmallCap,1,cap_weighted,N,
VB,Vanguard Small-Cap,US SmallCap,1,cap_weighted,N,
EWZ,iShares MSCI Brazil,Brazil,1,cap_weighted,N,
EWZS,iShares MSCI Brazil Small-Cap,Brazil,4,thematic,N,
BRZU,Direxion Daily MSCI Brazil Bull 3X,Brazil,5,leveraged_3x_long,N,
FLBR,Franklin FTSE Brazil,Brazil,1,cap_weighted,N,
ECH,iShares MSCI Chile,Chile,1,cap_weighted,N,
FLCL,Franklin FTSE Chile,Chile,1,cap_weighted,N,
ASHR,Xtrackers Harvest CSI 300 China A,ChinaA,1,cap_weighted,N,
ASHS,Xtrackers Harvest CSI 500 Small-Cap,ChinaA,4,thematic,N,
KBA,KraneShares Bosera MSCI China A,ChinaA,1,cap_weighted,N,
CXSE,WisdomTree China ex-State Owned,ChinaA,2,smart_beta_other,N,SOE-exclusion tilt
MCHI,iShares MSCI China,ChinaH,1,cap_weighted,N,
FXI,iShares China Large-Cap,ChinaH,1,cap_weighted,N,FTSE China 50
GXC,SPDR S&P China,ChinaH,1,cap_weighted,N,
KURE,KraneShares MSCI All China Health Care,ChinaH,4,thematic,N,Sector thematic
KWEB,KraneShares CSI China Internet,ChinaH,4,thematic,N,Internet thematic - large
EMQQ,Emerging Markets Internet & Ecommerce,ChinaH,4,thematic,N,Multi-country thematic
CQQQ,Invesco China Technology,ChinaH,4,thematic,N,
KGRN,KraneShares MSCI China Clean Tech,ChinaH,4,thematic,N,
YINN,Direxion Daily FTSE China Bull 3X,ChinaH,5,leveraged_3x_long,N,
YANG,Direxion Daily FTSE China Bear 3X,ChinaH,5,leveraged_3x_short,N,
CHAU,Direxion Daily CSI 300 China A Share Bull 2X,ChinaA,5,leveraged_2x_long,N,
INDA,iShares MSCI India,India,1,cap_weighted,N,
EPI,WisdomTree India Earnings,India,2,smart_beta_other,N,Earnings-weighted
INDY,iShares India 50,India,1,cap_weighted,N,
SMIN,iShares MSCI India Small-Cap,India,4,thematic,N,
FLIN,Franklin FTSE India,India,1,cap_weighted,N,
INDL,Direxion Daily MSCI India Bull 3X,India,5,leveraged_3x_long,N,
PIN,Invesco India,India,1,cap_weighted,N,
EIDO,iShares MSCI Indonesia,Indonesia,1,cap_weighted,N,
EWY,iShares MSCI South Korea,Korea,1,cap_weighted,N,
FLKR,Franklin FTSE South Korea,Korea,1,cap_weighted,N,
HEWY,iShares Currency Hedged MSCI South Korea,Korea,4,currency_hedged,Y,
KORU,Direxion Daily MSCI South Korea Bull 3X,Korea,5,leveraged_3x_long,N,
EWM,iShares MSCI Malaysia,Malaysia,1,cap_weighted,N,
EWW,iShares MSCI Mexico,Mexico,1,cap_weighted,N,
FLMX,Franklin FTSE Mexico,Mexico,1,cap_weighted,N,
MEXX,Direxion Daily MSCI Mexico Bull 3X,Mexico,5,leveraged_3x_long,N,
EPHE,iShares MSCI Philippines,Philippines,1,cap_weighted,N,
EPOL,iShares MSCI Poland,Poland,1,cap_weighted,N,
KSA,iShares MSCI Saudi Arabia,Saudi Arabia,1,cap_weighted,N,
EZA,iShares MSCI South Africa,South Africa,1,cap_weighted,N,
FLZA,Franklin FTSE South Africa,South Africa,1,cap_weighted,N,
EWT,iShares MSCI Taiwan,Taiwan,1,cap_weighted,N,
FLTW,Franklin FTSE Taiwan,Taiwan,1,cap_weighted,N,
THD,iShares MSCI Thailand,Thailand,1,cap_weighted,N,
TUR,iShares MSCI Turkey,Turkey,1,cap_weighted,N,
VNM,VanEck Vietnam,Vietnam,1,cap_weighted,N,Primary Vietnam proxy
EEM,iShares MSCI Emerging Markets,REGIONAL_EM,1,cap_weighted,N,Largest broad EM
IEMG,iShares Core MSCI Emerging Markets,REGIONAL_EM,1,cap_weighted,N,
VWO,Vanguard FTSE Emerging Markets,REGIONAL_EM,1,cap_weighted,N,
SCHE,Schwab Emerging Markets Equity,REGIONAL_EM,1,cap_weighted,N,
EMXC,iShares MSCI EM ex-China,REGIONAL_EM_EX_CHINA,4,thematic,N,EM ex-China tactical
DEM,WisdomTree EM High Dividend,REGIONAL_EM,2,smart_beta_dividend,N,
DGS,WisdomTree EM SmallCap Dividend,REGIONAL_EM,2,smart_beta_dividend,N,
EEMV,iShares MSCI EM Min Vol,REGIONAL_EM,2,smart_beta_lowvol,N,
QEMM,SPDR MSCI EM StrategicFactors,REGIONAL_EM,2,smart_beta_multifactor,N,
EMGF,iShares MSCI EM Multifactor,REGIONAL_EM,2,smart_beta_multifactor,N,
XSOE,WisdomTree EM ex-State Owned,REGIONAL_EM,2,smart_beta_other,N,
EFA,iShares MSCI EAFE,REGIONAL_DM_EX_US,1,cap_weighted,N,Largest broad DM
IEFA,iShares Core MSCI EAFE,REGIONAL_DM_EX_US,1,cap_weighted,N,
ACWX,iShares MSCI ACWI ex US,REGIONAL_GLOBAL_EX_US,1,cap_weighted,N,
IXUS,iShares Core MSCI Total International,REGIONAL_GLOBAL_EX_US,1,cap_weighted,N,
VEA,Vanguard FTSE Developed Markets,REGIONAL_DM_EX_US,1,cap_weighted,N,
SCHF,Schwab International Equity,REGIONAL_DM_EX_US,1,cap_weighted,N,
EFAV,iShares MSCI EAFE Min Vol,REGIONAL_DM_EX_US,2,smart_beta_lowvol,N,
IDV,iShares International Select Dividend,REGIONAL_DM_EX_US,2,smart_beta_dividend,N,
AAXJ,iShares MSCI Asia ex Japan,REGIONAL_ASIA_EX_JAPAN,1,cap_weighted,N,
ASEA,Global X FTSE Southeast Asia,REGIONAL_ASEAN,1,cap_weighted,N,
EZU,iShares MSCI Eurozone,REGIONAL_EUROZONE,1,cap_weighted,N,
FEZ,SPDR EURO STOXX 50,REGIONAL_EUROZONE,1,cap_weighted,N,
VGK,Vanguard FTSE Europe,REGIONAL_EUROPE,1,cap_weighted,N,
HEDJ,WisdomTree Europe Hedged Equity,REGIONAL_EUROZONE,4,currency_hedged,Y,Hedged tactical
ILF,iShares Latin America 40,REGIONAL_LATAM,1,cap_weighted,N,
EDC,Direxion Daily MSCI EM Bull 3X,REGIONAL_EM,5,leveraged_3x_long,N,
EDZ,Direxion Daily MSCI EM Bear 3X,REGIONAL_EM,5,leveraged_3x_short,N,
